Unnamed: 0,Artist,Track,Danceability,Energy,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Total_Views_Stream
0,Gorillaz,Feel Good Inc.,0.818,0.705,0.177,0.00836,0.00233,0.613,0.772,0.6067839292028391,1733790075.0
1,Gorillaz,Rhinestone Eyes,0.676,0.703,0.0302,0.0869,0.000687,0.0463,0.852,-0.9391053529217483,382095378.0
2,Gorillaz,New Gold (feat. Tame Impala and Bootie Brown),0.695,0.923,0.0522,0.0425,0.0469,0.116,0.551,-0.4242477342430652,71498522.0
3,Gorillaz,On Melancholy Hill,0.689,0.739,0.026,1.51e-05,0.509,0.064,0.578,-0.0053879564823766,646418511.0
4,Gorillaz,Clint Eastwood,0.663,0.694,0.171,0.0253,0.0,0.0698,0.525,1.59896414577933,1235740696.0
5,Gorillaz,DARE,0.76,0.891,0.0372,0.0229,0.0869,0.298,0.966,-0.0107549243818006,582871488.0
6,Gorillaz,New Gold (feat. Tame Impala and Bootie Brown) - Dom Dolla Remix,0.716,0.897,0.0629,0.012,0.262,0.325,0.358,0.2176281247219804,11118150.0
7,Gorillaz,She's My Collar (feat. Kali Uchis),0.726,0.815,0.0313,0.00799,0.081,0.112,0.462,0.6607573988328928,160616911.0
8,Gorillaz,Cracker Island (feat. Thundercat),0.741,0.913,0.0465,0.00343,0.103,0.325,0.643,-0.0192610621846607,67131721.0
9,Gorillaz,Dirty Harry,0.625,0.877,0.162,0.0315,0.0811,0.672,0.865,2.4206503066326164,345835769.0
10,Red Hot Chili Peppers,Californication,0.592,0.767,0.027,0.0021,0.00165,0.127,0.328,-0.8134710477541051,2074549657.0
11,Red Hot Chili Peppers,Under the Bridge,0.559,0.345,0.0459,0.0576,0.000105,0.141,0.458,-1.2152172863638009,1308438236.0
12,Red Hot Chili Peppers,Can't Stop,0.618,0.938,0.0456,0.0179,0.0,0.167,0.875,-0.9831887496302228,1203100710.0
13,Red Hot Chili Peppers,Scar Tissue,0.595,0.717,0.0295,0.0779,0.00274,0.108,0.547,-1.0671024741457416,1048960204.0
14,Red Hot Chili Peppers,Otherside,0.458,0.795,0.0574,0.00316,0.000202,0.0756,0.513,0.0893272128621709,1406303171.0
15,Red Hot Chili Peppers,Snow (Hey Oh),0.427,0.9,0.0499,0.116,1.75e-05,0.119,0.599,-0.5376291504327783,1181593553.0
16,Red Hot Chili Peppers,Dani California,0.556,0.913,0.0437,0.0193,8.59e-06,0.346,0.73,-0.8235636477662293,874296053.0
17,Red Hot Chili Peppers,By the Way,0.451,0.97,0.107,0.0264,0.00355,0.102,0.198,0.0628299185159593,546490804.0
18,Red Hot Chili Peppers,Give It Away,0.666,0.936,0.0476,0.00244,0.086,0.153,0.776,-0.9790706987891554,388585085.0
19,Red Hot Chili Peppers,Dark Necessities,0.7,0.742,0.0716,0.0722,0.0199,0.11,0.197,-0.966176474024502,825715837.0
